Distance_(pixels),Gray_Value
0,7.975
1,5.013
2,6.043
3,9.552
4,12.723
5,14.829
6,14.891
7,13.792
8,12.227
9,10.346
10,11.219
11,13.407
12,13.935
13,12.821
14,16.988
15,16.870
16,18.274
17,16.980
18,14.889
19,16.036
20,13.797
21,14.586
22,15.367
23,15.400
24,18.847
25,19.918
26,14.868
27,14.615
28,18.544
29,22.984
30,19.796
31,21.354
32,19.008
33,18.964
34,16.765
35,13.515
36,11.499
37,16.171
38,19.996
39,15.429
40,14.562
41,18.729
42,16.197
43,16.883
44,14.851
45,15.118
46,16.799
47,16.297
48,17.861
49,23.831
50,27.653
51,27.327
52,23.124
53,24.532
54,22.177
55,22.437
56,21.705
57,25.244
58,29.043
59,26.234
60,24.651
61,24.166
62,25.519
63,26.187
64,20.365
65,23.334
66,21.816
67,18.061
68,21.678
69,18.536
70,17.834
71,16.647
72,16.131
73,14.606
74,17.656
75,15.492
76,19.103
77,13.405
78,16.602
79,15.380
80,16.047
81,16.484
82,17.661
83,15.875
84,17.595
85,19.815
86,21.427
87,20.279
88,20.851
89,18.989
90,24.116
91,22.577
92,23.987
93,18.239
94,19.133
95,20.121
96,22.979
97,21.029
98,27.207
99,17.986
100,23.354
101,24.104
102,24.614
103,26.169
104,26.012
105,26.854
106,25.584
107,25.633
108,24.307
109,25.264
110,31.447
111,33.039
112,35.375
113,32.566
114,43.207
115,41.602
116,44.890
117,56.570
118,53.710
119,56.602
120,69.868
121,88.170
122,105.144
123,112.715
124,93.845
125,80.453
126,78.465
127,71.573
128,43.885
129,39.853
130,32.093
131,27.840
132,28.572
133,29.521
134,29.404
135,25.473
136,29.192
137,32.759
138,35.640
139,38.316
140,42.856
141,51.114
142,62.839
143,54.888
144,50.344
145,49.801
146,36.685
147,35.799
148,37.204
149,41.497
150,33.666
151,33.557
152,31.129
153,29.078
154,28.924
155,22.692
156,23.307
157,25.835
158,23.147
159,18.845
160,21.739
161,22.098
162,21.920
163,20.154
164,17.152
165,20.744
166,24.488
167,22.474
168,19.708
169,15.740
170,17.987
171,21.847
172,20.858
173,15.786
174,15.508
175,12.382
176,12.813
177,16.809
178,21.014
179,21.982
180,20.551
181,18.216
182,17.589
183,14.971
184,13.357
185,15.660
186,12.550
187,13.096
188,14.394
189,19.821
190,18.343
191,17.966
192,19.139
193,18.828
194,23.780
195,27.522
196,25.782
197,20.555
198,26.426
199,33.741
200,38.278
201,62.835
202,72.813
203,90.333
204,108.001
205,142.675
206,147.955
207,132.645
208,138.439
209,126.332
210,119.585
211,99.061
212,82.079
213,52.024
214,46.166
215,49.779
216,43.896
217,41.538
218,41.497
219,32.800
220,31.776
221,23.858
222,19.820
223,19.813
224,24.074
225,22.815
226,24.290
227,25.947
228,23.924
229,25.615
230,26.132
231,34.250
232,30.020
233,29.424
234,31.097
235,30.850
236,27.383
237,26.873
238,28.388
239,25.587
240,23.239
241,20.381
242,17.019
243,20.641
244,17.036
245,16.593
246,18.905
247,19.248
248,17.164
249,18.561
250,18.184
251,15.553
252,18.134
253,17.799
254,21.079
255,21.209
256,17.811
257,17.600
258,16.619
259,18.033
260,16.976
261,16.531
262,20.862
263,23.009
264,22.515
265,22.474
266,17.647
267,18.641
268,18.440
269,20.529
270,18.764
271,16.832
272,17.577
273,17.151
274,19.618
275,17.236
276,20.305
277,19.442
278,19.553
279,21.385
280,17.691
281,21.314
282,23.101
283,18.476
284,16.982
285,15.070
286,17.109
287,21.470
288,19.862
289,23.712
290,22.508
291,28.039
292,25.853
293,24.794
294,20.233
295,20.178
296,19.570
297,18.794
298,18.692
299,23.726
300,21.266
301,21.910
302,24.738
303,22.859
304,22.394
305,21.856
306,23.857
307,24.399
308,27.891
309,20.951
310,22.138
311,18.252
312,18.901
313,22.848
314,26.601
315,19.132
316,21.473
317,20.684
318,25.488
319,23.885
320,21.419
321,25.023
322,22.368
323,21.453
324,24.279
325,23.952
326,21.271
327,18.756
328,22.619
329,18.902
330,23.178
331,20.914
332,23.296
333,24.354
334,23.893
335,23.389
336,31.606
337,37.576
338,38.719
339,55.061
340,69.287
341,112.842
342,150.486
343,203.836
344,196.385
345,168.180
346,166.222
347,122.405
348,131.854
349,135.728
350,101.919
351,86.373
352,69.405
353,78.080
354,75.775
355,76.887
356,96.324
357,104.359
358,96.063
359,65.016
360,53.642
361,45.689
362,32.620
363,28.279
364,34.242
365,26.256
366,25.462
367,24.191
368,27.274
369,24.147
370,23.533
371,22.345
372,18.624
373,22.623
374,17.211
375,19.747
376,19.257
377,20.750
378,18.158
379,18.352
380,18.278
381,18.114
382,19.199
383,18.576
384,16.156
385,17.093
386,17.273
387,14.491
388,16.137
389,17.303
390,14.345
391,14.246
392,16.257
393,15.529
394,18.573
395,22.500
396,24.157
397,16.581
398,12.342
399,17.551
400,17.263
401,14.837
402,16.811
403,16.940
404,15.670
405,17.559
406,21.011
407,19.040
408,22.104
409,23.388
410,18.813
411,21.362
412,25.183
413,31.286
414,30.213
415,24.329
416,18.459
417,19.587
418,26.506
419,28.993
420,28.124
421,28.992
422,35.979
423,45.582
424,67.105
425,82.139
426,79.275
427,76.464
428,59.451
429,52.481
430,46.580
431,44.883
432,50.014
433,56.050
434,45.206
435,42.603
436,39.400
437,37.546
438,43.949
439,53.620
440,62.741
441,51.969
442,48.198
443,41.789
444,33.565
445,28.277
446,20.649
447,20.018
448,21.102
449,16.089
450,14.960
451,15.734
452,16.694
453,13.709
454,13.704
455,14.212
456,12.161
457,17.148
458,20.027
459,14.758
460,12.428
461,12.045
462,11.035
463,10.642
464,11.313
465,9.286
466,9.464
467,9.872
468,8.714
469,8.568
470,11.357
471,8.597
472,8.765
473,11.829
474,12.479
475,12.602
476,9.409
477,12.643
478,16.883
479,12.442
480,7.260
481,8.239
482,10.051
483,9.520
484,9.546
485,11.112
486,9.934
487,8.341
488,8.839
489,10.429
490,7.940
491,10.122
492,14.188
493,14.959
494,14.758
495,12.161
496,7.600
497,9.205
498,9.320
499,13.519
500,9.821
501,8.716
502,8.449
503,5.823
504,10.196
505,8.912
506,8.587
507,6.659
508,12.395
509,7.126
510,7.617
511,10.421
512,10.809
513,11.798
514,10.280
515,6.025
516,8.597
517,5.943
518,5.689
519,6.038
520,7.263
521,10.195
522,10.009
523,9.126
524,8.757
525,8.587
526,6.400
527,5.940
528,6.330
529,7.521
530,7.979
531,8.604
532,9.002
533,9.804
534,10.589
535,8.407
536,7.411
